Reference;Quantity;Value;Footprint;Proper Name;Notes
U7,U4;2;74AHC1G14;SOT-23-5;SN74AHC1G14DBVR;
C25,C5,C24,C26,C1,C7,C10,C11,C13,C14,C15,C16,C17,C18,C20,C22,C6;17;100n;C_0805_HandSoldering;C0805C104K5RACTU;
R17,R10,R14,R15,R18,R19,R3,R4;8;10K;R_0805_HandSoldering;RC0805JR-0710KL;
Q7,Q3,Q4,Q8,Q1,Q2;6;IRF7606PBF;msoic-8;IRF7606TRPBF;
U1;1;TS3USB30EDGSR;msoic-10;TS3USB30EDGSR;
U8;1;TS3A27518E;tssop-24;TS3A27518EPWR;
C2,C21,C23;3;10u;C_0805_HandSoldering;GRM21BR61E106KA73L;
C8,C9,C28,C29;4;27p;C_0805_HandSoldering;500R15N270KV4T;
C27;1;4.7u;C_0805_HandSoldering;GRM21BR61E475KA12L;
D1,D4;2;ES1AL;do219ab;ES1AL;
FB1;1;MI0805K400R-10;R_0805_HandSoldering;MI0805K400R-10;
R2;1;90.9K;R_0805_HandSoldering;CRCW080590K9FKEA;
R11,R12,R16,R20,R5,R6,R7,R9;8;4.7K;R_0805_HandSoldering;CRCW08054K70FKEA;
RL1;1;G2RK-2-DC5;G2RK-2;G2RK-2-DC5;
U2;1;FT245RL;ssop-28;FT245RL-REEL;
Q5,Q6;2;2N7002;SOT-23;2N7002;
J1;1;USDCARD;HIROSE-MICROSD-DM3AT-SF;DM3AT-SF-PEJM5;
P2,P3;2;61400416021;conn_usb_A;61400416021;
P6,P7;2;IDC_02X04;PSB_IDC_4x2;Creatron Inc CONID-106508;https://www.creatroninc.com/product/8-pin-4x2-idc-shrouded-header/
P5,P10;2;BARREL_JACK;BARREL_JACK;SparkFun PRT-10811;
P9;1;USB_A;conn_usb_A;61400416021;
P8,P1;2;USB_OTG;conn_usb_B_micro;629105136821;
D2,D3;2;RB751V40T1G;SOD-323;RB751V40T1G;
C3;1;1n;C_0805_HandSoldering;GRM2165C1H102FA01D;
C4;1;1u;C_0805_HandSoldering;GRM216R61E105KA12D;
C12,C19;2;18p;C_0805_HandSoldering;251R15S180FV4E;
FB2,FB3;2;BLM18PG221SN1D;R_0603_HandSoldering;BLM18PG221SN1D;
Y1;1;24MHz;Crystals:Crystal_HC49-SD_SMD;ABLS-24.000MHZ-B2-T;
P4;2;CONN_01X06;Pin_Header_Straight_1x06;61300611121;
R1,R13;2;1M;R_0805_HandSoldering;CRCW08051M00FKEA;
R8;1;9.53K;R_0805_HandSoldering;CRCW08059K53FKEA;
U3;1;TUSB4041IPAPR;QFP50P1200X1200X105-65N;TUSB4041IPAPR;
U5;1;TLV73333;SOT-23-5;TLV73333PDBVR;
U6;1;TLV73311;SOT-23-5;TLV73311PDBVR;
R22,R24;2;0;R_1210_HandSoldering;CRCW12100000Z0EA;
R21,R23;2;0;Resistor_Horizontal_RM10mm;unpopulated;
